"School.Name","County","LocaleType","Student.Teacher.Ratio","Free.Lunch"
"Valley View Early Childhood Center","King","Suburb",35.8,100
"Valley View Elementary","Yakima","Town",19.1,365
"Valley View Elementary School","Kittitas","Town",17.6,157
"Valley View Middle School","Snohomish","Suburb",24.4,86
"Van Asselt Elementary School","King","City",14.6,275
"Vancouver Alternative Programs","Clark","City",NA,3
"Vancouver Contracted Programs","Clark","City",NA,0
"Vancouver Home Connection","Clark","City",39.5,85
"Vancouver iTech Preparatory","Clark","Suburb",18.5,91
"Vancouver School of Arts and Academics","Clark","City",21.3,113
"Vancouver Virtual Learning Academy","Clark","City",22.2,227
"Vashon Island High School","King","Rural",21.5,75
"Vaughn Elementary School","Pierce","Rural",15.5,135
"Victor Falls Elementary","Pierce","Suburb",17.6,106
"View Ridge Elementary","Snohomish","City",18.6,187
"View Ridge Elementary School","Kitsap","City",15.1,287
"View Ridge Elementary School","King","City",18,36
"View Ridge Middle School","Clark","Town",22.7,97
"Viewlands Elementary School","King","City",16.6,118
"Vinland Elementary","Kitsap","Suburb",18.4,124
"Virgie Robinson Elementary","Franklin","Suburb",18.4,734
"Visions (Seamar Youth Center)","Whatcom","City",NA,17
"Vista Elementary School","Benton","City",19.8,400
"Vista Middle School","Whatcom","Suburb",19.4,236
"Vossbeck Elementary School","Whatcom","Town",17.8,115
"Voyager Elementary","Pierce","Suburb",18.7,60
"Voyager Middle School","Snohomish","Suburb",19.4,464
"W F West High School","Lewis","Town",20.7,346
"Wade King Elementary School","Whatcom","Suburb",16.3,70
"Wahitis Elementary School","Adams","Rural",20.5,372
"Wahkiakum High School","Wahkiakum","Rural",16.4,67
"Wahluke High School","Grant","Rural",17.8,349
"Wahluke Junior High","Grant","Rural",16.6,342
"Wainwright",NA,NA,NA,NA
"Waitsburg Elementary School","Walla Walla","Rural",19,57
"Waitsburg High School","Walla Walla","Rural",11.6,24
"Waldron Island School","San Juan","Rural",5.7,3
"Walker High School","Pierce","Suburb",15.4,64
"Walla Walla County Juvenile Detention","Walla Walla","City",NA,0
"Walla Walla High School","Walla Walla","Suburb",21.1,720
"Wallace & Priscilla Stevenson Intermediate School","Klickitat","Rural",19.2,111
"Wallace Elementary","Cowlitz","Suburb",16.2,319
"Waller Road Elementary","Pierce","Suburb",18.7,128
"Walnut Grove Elementary","Clark","Suburb",17.7,412
"Walter Strom Middle School","Kittitas","Town",15.8,69
"Wapato High School","Yakima","Town",19.8,668
"Wapato Middle School","Yakima","Rural",19.1,713
"Warden Elementary","Grant","Town",18.3,333
"Warden High School","Grant","Town",19.2,203
"Warden Middle School","Grant","Town",15.3,124
"Warren Hunt Elem","Pierce","Suburb",19.2,196
"Washington Connections Academy",NA,NA,NA,NA
"Washington Elementary","Clark","City",14.9,286
"Washington Elementary","Pierce","City",19.4,65
"Washington Elementary","Yakima","Town",18.2,618
"Washington Elementary School","Chelan","City",17.4,267
"Washington Elementary School","Skagit","City",15.8,311
"Washington Elementary School","Benton","City",18.1,365
"Washington Elementary School","Lewis","Town",16.5,301
"Washington Elementary School","King","City",15.8,342
"Washington High School","Pierce","Suburb",18.3,595
"Washington Middle School","Thurston","City",20,114
"Washington Middle School","King","City",19.7,381
"Washington Middle School","Yakima","City",17.4,739
"Washington Network for Innovative Careers","King","Suburb",1.3,NA
"Washington State School for the Blind","Clark","City",NA,21
"Washington State School for the Deaf","Clark","City",NA,45
"Washington Virtual Academy Omak Elementary","Okanogan","Town",31.9,315
"Washington Virtual Academy Omak High School","Okanogan","Town",29.7,197
"Washington Virtual Academy Omak Middle School","Okanogan","Town",32.9,218
"Washington Youth Academy","Kitsap","Rural",NA,153
"Washougal High School","Clark","Suburb",20.9,286
"Washougal Special Services","Clark","Suburb",NA,9
"Washtucna Elementary/High School","Adams","Rural",3.4,20
"Waterville Elementary","Douglas","Rural",10.7,42
"Waterville High School","Douglas","Rural",16.8,88
"Wayne M Henkle Middle School","Klickitat","Rural",17.7,74
"Wedgwood Elementary School","King","City",19,26
"Wellington Elementary","King","Suburb",21.4,32
"Wellpinit Alliance High School","Stevens","Rural",11.5,11
"Wellpinit Elementary School","Stevens","Rural",15.9,178
"Wellpinit Fort Simcoe SEA",NA,NA,NA,NA
"Wellpinit High School","Stevens","Rural",9.1,63
"Wellpinit Middle School","Stevens","Rural",15.5,67
"Wenatchee High School","Chelan","City",21.5,1131
"Wenatchee Valley Technical Skills Center","Chelan","Suburb",NA,0
"West Auburn Senior High School","King","City",14.3,144
"West Hills S.T.E.M. Academy","Kitsap","Suburb",16.8,379
"West Mercer Elementary","King","Suburb",20,23
"West Seattle Elementary School","King","City",13.4,282
"West Seattle High School","King","City",20.1,229
"West Sound Technical Skills Center","Kitsap","City",NA,0
"West Valley City School","Spokane","City",21,47
"West Valley Early Learning Center",NA,NA,NA,NA
"West Valley High School","Yakima","Rural",23.9,297
"West Valley High School","Spokane","City",19.3,297
"West Valley High School Freshman Campus","Yakima","Rural",21.6,146
"West Valley Jr High","Yakima","City",22.5,282
"West Valley Middle School","Yakima","City",20.5,286
"West Valley Preschool","Yakima","Rural",NA,3
"WEST VALLEY VIRTUAL ACADEMY 7-8",NA,NA,NA,NA
"WEST VALLEY VIRTUAL ACADEMY 9-12",NA,NA,NA,NA
"WEST VALLEY VIRTUAL ACADEMY K-6",NA,NA,NA,NA
"West View Elementary","Skagit","Suburb",14.4,221
"West Woodland Elementary School","King","City",19.3,28
"Westgate Elementary","Snohomish","Suburb",17.8,133
"Westgate Elementary School","Benton","City",15.6,435
"Westhill Elementary","King","Suburb",17,94
"Weston High School","Snohomish","Suburb",14.1,52
"Westside High School","Chelan","City",18.8,153
"Westview Elementary","Spokane","City",16.6,276
"Westwood Elementary School","King","Rural",17,73
"Westwood Middle School","Spokane","Rural",19.4,213
"Weyerhaeuser Elementary","Pierce","Rural",19.4,84
"Whatcom Co Detention Ctr","Whatcom","City",NA,0
"Whatcom Middle School","Whatcom","City",19.6,128
"White Bluffs Elementary School","Benton","City",19,54
"White Center Heights Elementary","King","Suburb",17.6,445
"White Pass Elementary School","Lewis","Rural",17.2,122
"White Pass Jr. Sr. High School","Lewis","Rural",18,114
"White River High School","Pierce","Suburb",21.5,244
"White River Homeschool","Pierce","Suburb",NA,0
"White River Reengagement Program","Pierce","Suburb",NA,NA
"White River Special Ed Services","Pierce","Suburb",NA,NA
"White Salmon Academy","Klickitat","Rural",NA,4
"White Swan High School","Yakima","Rural",8.6,166
"Whitman","Pierce","City",17.5,340
"Whitman Elementary","Spokane","City",14.1,438
"Whitman Middle School","King","City",19.5,209
"Whitney Elementary Anacortes","Skagit","Town",19.8,20
"Whitney Elementary Yakima","Yakima","City",18.8,410
"Whitstran Elementary","Benton","Rural",16.7,203
"Whittier","Pierce","Suburb",20,195
"Whittier Elementary","Franklin","Suburb",17.3,482
"Whittier Elementary","Snohomish","City",18.6,160
"Whittier Elementary School","King","City",19.3,28
"Wide Hollow Elementary","Yakima","City",16.6,187
"Wilbur Elementary School","Lincoln","Rural",15.1,54
"Wilbur Secondary School","Lincoln","Rural",12.2,48
"Wilder Elementary","King","Suburb",19,15
"Wildwood Elementary","Pierce","Suburb",17.7,216
"Wildwood Elementary School","King","Suburb",15.5,344
"Wilkeson Elementary School","Pierce","Rural",18.4,62
"Willapa Elementary","Pacific","Rural",15.3,67
"Willapa Valley Middle-High","Pacific","Rural",13.2,63
"Willard Elementary","Spokane","City",15.1,380
"William Wiley Elementary School","Benton","Suburb",19.5,70
"Wilson","Pierce","City",21.6,445
"Wilson Creek Elementary","Grant","Rural",12.9,36
"Wilson Creek High","Grant","Rural",11.4,34
"Wilson Elementary","Spokane","City",21.1,58
"Wilson Middle School","Yakima","City",20.6,667
"Wind River Middle School","Skamania","Rural",15.2,53
"Windsor Elementary","Spokane","Suburb",15.6,153
"WINDWARD HIGH SCHOOL","Whatcom","Rural",20.1,46
"Wing Luke Elementary School","King","City",14,191
"Winlock Middle School","Lewis","Rural",18.6,127
"Winlock Miller Elementary","Lewis","Rural",16.9,254
"Winlock Senior High","Lewis","Rural",18.1,148
"Winolequa Learning Academy","Lewis","Rural",27,27
"Wishkah Valley Elementary/High School","Grays Harbor","Rural",10.7,59
"Wishram High And Elementary Schl","Klickitat","Rural",8.7,72
"Woodbrook Middle School","Pierce","City",17.4,235
"Woodburn Elementary","Clark","Rural",16.2,101
"Woodin Elementary","King","Suburb",17.6,144
"Woodinville Community Center","King","Suburb",NA,4
"Woodinville HS","King","Suburb",23.6,100
"Woodland Elementary","Thurston","Suburb",16,154
"Woodland Elementary","Pierce","Suburb",20.3,246
"Woodland High School","Cowlitz","Rural",22.1,243
"Woodland Intermediate School","Cowlitz","Town",18.8,203
"Woodland Middle School","Cowlitz","Town",19.1,288
"Woodland Primary School","Cowlitz","Town",17.1,136
"Woodlands Elementary","Kitsap","Suburb",15.2,186
"Woodmont K-8 School","King","Suburb",17.9,235
"Woodmoor Elementary","King","Suburb",17,165
"Woodridge Elementary","Spokane","City",18.4,137
"Woodridge Elementary","King","City",17,89
"Woodside Elementary","Snohomish","Suburb",20.5,185
"Woodward Middle School","Kitsap","Rural",19.1,26
"Wyeast Middle School","Clark","City",18.6,435
"Yacolt Primary","Clark","Rural",18.8,202
"Yakima Adult Jail","Yakima","City",NA,0
"Yakima Online","Yakima","City",59,73
"Yakima Open Doors","Yakima","City",88,63
"Yakima Satellite Alternative Programs","Yakima","City",6.6,28
"Yakima Valley Technical Skills Center","Yakima","City",NA,0
"Yale Elementary","Cowlitz","Rural",12.3,15
"Yelm Extension School","Thurston","Town",26.2,69
"Yelm High School 12","Thurston","Rural",21.2,375
"Yelm Middle School","Thurston","Town",20.9,268
"Yelm Prairie Elementary","Thurston","Rural",18.7,188
"York Elementary School","Clark","Suburb",17.7,164
"Youth Re-Engagement","Snohomish","Suburb",NA,13
"Youthsource","King","City",NA,0
"Zeiger Elementary","Pierce","Suburb",19,190
"Zillah High School","Yakima","Town",20.1,159
"Zillah Intermediate School","Yakima","Town",19,146
"Zillah Middle School","Yakima","Rural",20.1,89
